date	start	end	hours	branch	notes
2026-04-11	08:00	13:30	5.5	sig_rev1	Sandbox page, narrative layer, temporal band F, WHG reconcile fix, UI/UX iteration
2026-04-11	18:30	19:44	1.25	sig_rev1	sandbox.md scenarios and fail state requirements (Timbuktu, Ur)
2026-04-12	08:16	11:28	3.2	sig_rev1	Neighborhood preview map: API endpoint, basin choropleth, HydroRIVERS global load, geography indexes
2026-04-13	08:30	13:01	4.5	sandbox	Wireframe redesign: Map|Signature tabs, candidate markers, bands checkboxes, auto-preview, interpretation modal
2026-04-13	16:52	20:00	3.1	sandbox	Analysis (alpha) tab: up_area in payload, s/u divergence table, scale mismatch alert, water provenance classification
2026-04-14	08:20	11:22	3.0	sig_rev1	WHG API investigation, issues drafted, edop.html lookup fixes (exact=true, lookahead, spinner, caps)
2026-04-14	08:30	13:45	5.25	sandbox	Deploy to Hetzner: anthropic install, basin06/hydrorivers migration, geog index, persist views, performance fixes
2026-04-14	16:15	18:35	2.33	sandbox	LMR temporal expansion (air/prate), Band F tabbed accordion UI
