id	title	lon	lat	geowkt	ccodes
8349975	Split	16.45	43.51	MULTIPOINT (16.45 43.51)	HR
8350042	St. George's	-64.676944	32.381944		BM
8349976	Stockholm	18.06861111	59.32944444	MULTIPOINT (18.068611111111 59.329444444444)	SE
8349977	Stralsund	13.08333333	54.3	MULTIPOINT (13.083333333333 54.3)	DE
8349978	Strasbourg	7.752222222	48.57333333	MULTIPOINT (7.7522222222222 48.573333333333)	FR
8350043	Sucre	-65.25917	-19.04306	MULTIPOINT (-65.25917 -19.04306)	BO
8349878	Surakarta	110.8166667	-7.566666667	MULTIPOINT (110.81666666667 -7.5666666666667)	ID
8349879	Suwon	127.01	37.28583333	MULTIPOINT (127.01 37.285833333333)	KR
8349979	Suzdal	40.44888889	56.42111111	MULTIPOINT (40.448888888889 56.421111111111)	RU
8349880	Suzhou	120.61642	31.30401	MULTIPOINT (120.61642 31.30401)	CN
8349980	Tallinn	24.745	59.43722222	MULTIPOINT (24.745 59.437222222222)	EE
8349981	Tarragona	1.24532	41.11868	MULTIPOINT (1.24532 41.11868)	ES
8349881	Tel Aviv	34.78	32.08	MULTIPOINT (34.78 32.08)	IL
8349982	Telč	15.45277107	49.18422994	MULTIPOINT (15.452771068011 49.184229941699)	CZ
8349983	Telford	-2.4475	52.67916667	MULTIPOINT (-2.4475 52.679166666667)	GB
8349822	Tétouan	-5.366666667	35.56666667	MULTIPOINT (-5.3666666666667 35.566666666667)	MA
8349802	Timbuktu	-2.999443889	16.77333306	MULTIPOINT (-2.9994438888889 16.773333055556)	ML
8349984	Tinn	8.559444	60.009167	MULTIPOINT (8.559443999999999 60.009167)	NO
8350044	Tlacotalpan	-95.6667	18.6167	MULTIPOINT (-95.66670000000001 18.6167)	MX
8349985	Toledo	-4.033333333	39.86666667	MULTIPOINT (-4.0333333333333 39.866666666667)	ES
8349986	Toruń	18.61666667	53.01666667	MULTIPOINT (18.616666666667 53.016666666667)	PL
8349987	Třebíč	15.88167594	49.2149674	MULTIPOINT (15.881675935311 49.214967400263)	CZ
8350045	Trinidad	-79.98417	21.80194	MULTIPOINT (-79.98417000000001 21.80194)	CU
8349988	Trogir	16.25	43.51666667	MULTIPOINT (16.25 43.516666666667)	HR
8350046	Trujillo	-79.02888889	-8.111944444	MULTIPOINT (-79.028888888889 -8.111944444444401)	PE
8349823	Tunis	10.18	36.80083333	MULTIPOINT (10.18 36.800833333333)	TN
8349882	Turkistan	68.24361111	43.3	MULTIPOINT (68.24361111111099 43.3)	KZ
8349989	Úbeda	-3.371666667	38.01166667	MULTIPOINT (-3.3716666666667 38.011666666667)	ES
8349990	Urbino	12.6372	43.72523889	MULTIPOINT (12.6372 43.725238888889)	IT
8349991	Vagharshapat	44.2925	40.17277778	MULTIPOINT (44.2925 40.172777777778)	AM
8349992	Valletta	14.5125	35.89777778	MULTIPOINT (14.5125 35.897777777778)	MT
8350047	Valparaíso	-71.6197	-33.0458	MULTIPOINT (-71.61969999999999 -33.0458)	CL
8349993	Vatican City	12.453	41.904	MULTIPOINT (12.453 41.904)	VA
8349994	Veliky Novgorod	31.27579	58.52099	MULTIPOINT (31.27579 58.52099)	RU
8349995	Vienna	16.373064	48.20833	MULTIPOINT (16.373064 48.20833)	AT
8349883	Vigan	120.38694	17.57472	MULTIPOINT (120.38694 17.57472)	PH
8349996	Vilnius	25.28333333	54.68333333	MULTIPOINT (25.283333333333 54.683333333333)	LT
8349997	Vinje	7.779167	59.801389	MULTIPOINT (7.779167 59.801389)	NO
8349998	Visby	18.29583333	57.64166667	MULTIPOINT (18.29583333 57.64166667)	SE
